RegionID,RegionName,City,State,Metro,CountyName,No of bedrooms,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
268600,Willowcreek,Sacramento,CA,Sacramento,Sacramento,4,332800,337300,343600,348800,353200,359100,366100,369400,369400,368600,369900,373000,377000,379000,378700,378500,379500,381300,382900,385400,388200,391300,395200,399600,401800,403600,407800,411500,413600,415200,416300,416900,418700,420800,421700,423200,426100
274247,Lakeshore,Oakland,CA,San Francisco,Alameda,4,1168300,1188000,1207900,1229500,1250900,1272000,1286800,1293900,1306700,1327100,1346900,1359000,1371700,1386100,1409300,1413900,1396500,1380700,1382400,1395500,1408500,1407100,1397100,1403000,1431500,1468500,1490600,1501100,1515000,1532000,1534800,1533500,1540700,1579000,1643000,1696900,1710900
115629,Northeast Hillsdale,San Mateo,CA,San Francisco,San Mateo,4,1359600,1385500,1417200,1439700,1456800,1472000,1487800,1507000,1519600,1525300,1541600,1562500,1582000,1598600,1613500,1621200,1620800,1610300,1598400,1592400,1596200,1596900,1584600,1580500,1603500,1621800,1628300,1644300,1664300,1676800,1702100,1736800,1760200,1771900,1791500,1830600,1864300
416992,Twenty-Fifth Ave,San Mateo,CA,San Francisco,San Mateo,4,1444200,1462800,1489200,1514400,1537500,1559200,1573600,1577600,1586300,1608800,1637000,1669000,1711200,1746200,1762100,1769800,1772300,1763100,1756400,1760000,1770400,1781400,1790400,1799400,1809300,1810600,1810100,1833200,1870100,1901200,1928300,1958800,1981200,1997000,2023200,2067100,2102900
268301,Millsmont,Oakland,CA,San Francisco,Alameda,4,478400,489400,501800,513300,524900,536100,547300,558600,569000,575100,577600,580100,584700,591300,600500,609800,617100,621500,626700,630400,633800,639000,647000,654800,665300,674700,678300,676900,680200,687300,692500,697800,710500,722900,731100,739500,748600
268303,Miraloma Park,San Francisco,CA,San Francisco,San Francisco,4,1392500,1424000,1461600,1495100,1524800,1551900,1567400,1567900,1557300,1546700,1547000,1565400,1592200,1610900,1618000,1614900,1603600,1571400,1539300,1532800,1543500,1548300,1561500,1573500,1578600,1580600,1588200,1598300,1614700,1633000,1649700,1658300,1669300,1685900,1699400,1705100,1706600
268130,Eastmont Hills,Oakland,CA,San Francisco,Alameda,4,501300,507600,517500,531100,547500,560800,569500,578500,587100,591500,591500,590900,591900,596400,605400,613000,616500,619000,623200,626800,631800,639900,649500,657900,667300,678500,686700,690700,694400,699100,701700,706700,714700,722900,733900,749300,761300
268564,Village 7,Sacramento,CA,Sacramento,Sacramento,4,397500,401600,403900,403800,405900,411900,417600,420800,423300,426100,428300,429900,430200,430100,429900,428700,428200,428300,427600,426900,429500,435400,442700,448700,451600,454200,458000,462500,465400,467300,468100,468100,468600,472500,475400,476100,477200
268011,Avondale,Sacramento,CA,Sacramento,Sacramento,4,201600,203200,206400,208200,208400,209800,211700,212900,215100,218200,220800,223300,227000,230000,232500,234700,236200,237500,240200,243100,245300,247500,249700,252100,254500,257100,260000,264700,269200,272800,276300,280400,283900,284200,281000,279800,282400
268419,Presidio Heights,San Francisco,CA,San Francisco,San Francisco,4,4727600,4821800,4931700,5059200,5155500,5210500,5241700,5244100,5264400,5333400,5384200,5407000,5443700,5486300,5517200,5525900,5593700,5658400,5667300,5685400,5726700,5697200,5702700,5762000,5778900,5751000,5750400,5749600,5704900,5745300,5809900,5796300,5735600,5874300,6129200,6239900,6160100
